run_id,loop,estimator,T,time,estimation_error_norm
51c9ba33,1,EKF,5.0,0.00,6.470182
51c9ba33,1,MHE (OSQP),5.0,0.00,6.470182
51c9ba33,1,MHE (PCIP),5.0,0.00,6.470182
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.00,6.470182
51c9ba33,1,EKF,5.0,0.01,6.095695
51c9ba33,1,MHE (OSQP),5.0,0.01,1.452610
51c9ba33,1,MHE (PCIP),5.0,0.01,2.714928
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.01,1.119014
51c9ba33,1,EKF,5.0,0.02,6.067671
51c9ba33,1,MHE (OSQP),5.0,0.02,1.141198
51c9ba33,1,MHE (PCIP),5.0,0.02,1.509689
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.02,0.680934
51c9ba33,1,EKF,5.0,0.03,6.052859
51c9ba33,1,MHE (OSQP),5.0,0.03,1.004227
51c9ba33,1,MHE (PCIP),5.0,0.03,1.316501
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.03,0.659067
51c9ba33,1,EKF,5.0,0.04,6.045502
51c9ba33,1,MHE (OSQP),5.0,0.04,0.891514
51c9ba33,1,MHE (PCIP),5.0,0.04,0.863545
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.04,0.633366
51c9ba33,1,EKF,5.0,0.05,6.041105
51c9ba33,1,MHE (OSQP),5.0,0.05,0.839260
51c9ba33,1,MHE (PCIP),5.0,0.05,0.821098
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.05,0.628935
51c9ba33,1,EKF,5.0,0.06,6.037791
51c9ba33,1,MHE (OSQP),5.0,0.06,0.834569
51c9ba33,1,MHE (PCIP),5.0,0.06,0.705239
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.06,0.609167
51c9ba33,1,EKF,5.0,0.07,6.036803
51c9ba33,1,MHE (OSQP),5.0,0.07,0.879606
51c9ba33,1,MHE (PCIP),5.0,0.07,0.699254
51c9ba33,1,MHE (PCIP+L1AO),5.0,0.07,0.594042
51c9ba33,1,EKF,5.0,0.08,6.037277
51c9ba33,1,MHE (OSQP),5.0,0.08,0.930008
51c9ba33,1,MHE (PCIP),5.0,0.08,0.646819
