run_id,loop,estimator,T,time,estimation_error_norm
5274f047,1,EKF,5.0,0.00,10.000000
5274f047,1,LMHE1,5.0,0.00,10.000000
5274f047,1,LMHE2,5.0,0.00,10.000000
5274f047,1,LMHE3,5.0,0.00,10.000000
5274f047,1,EKF,5.0,0.01,5.109224
5274f047,1,LMHE1,5.0,0.01,3.801671
5274f047,1,LMHE2,5.0,0.01,3.769644
5274f047,1,LMHE3,5.0,0.01,3.082967
5274f047,1,EKF,5.0,0.02,4.227159
5274f047,1,LMHE1,5.0,0.02,3.203560
5274f047,1,LMHE2,5.0,0.02,3.696209
5274f047,1,LMHE3,5.0,0.02,2.387889
5274f047,1,EKF,5.0,0.03,3.600750
5274f047,1,LMHE1,5.0,0.03,2.768844
5274f047,1,LMHE2,5.0,0.03,2.832848
5274f047,1,LMHE3,5.0,0.03,1.957818
5274f047,1,EKF,5.0,0.04,3.188900
5274f047,1,LMHE1,5.0,0.04,2.503442
5274f047,1,LMHE2,5.0,0.04,2.653830
5274f047,1,LMHE3,5.0,0.04,1.704444
5274f047,1,EKF,5.0,0.05,2.902705
5274f047,1,LMHE1,5.0,0.05,2.269456
5274f047,1,LMHE2,5.0,0.05,2.370548
5274f047,1,LMHE3,5.0,0.05,1.516041
5274f047,1,EKF,5.0,0.06,2.720271
5274f047,1,LMHE1,5.0,0.06,2.046041
5274f047,1,LMHE2,5.0,0.06,2.202533
5274f047,1,LMHE3,5.0,0.06,1.393650
5274f047,1,EKF,5.0,0.07,2.611924
5274f047,1,LMHE1,5.0,0.07,1.882102
5274f047,1,LMHE2,5.0,0.07,2.065280
5274f047,1,LMHE3,5.0,0.07,1.293165
5274f047,1,EKF,5.0,0.08,2.581156
5274f047,1,LMHE1,5.0,0.08,1.787096
5274f047,1,LMHE2,5.0,0.08,1.998903
5274f047,1,LMHE3,5.0,0.08,1.231512
5274f047,1,EKF,5.0,0.09,2.599515
5274f047,1,LMHE1,5.0,0.09,1.738544
5274f047,1,LMHE2,5.0,0.09,1.921370
5274f047,1,LMHE3,5.0,0.09,1.193749
5274f047,1,EKF,5.0,0.10,2.664544
5274f047,1,LMHE1,5.0,0.10,1.730941
5274f047,1,LMHE2,5.0,0.10,1.904578
5274f047,1,LMHE3,5.0,0.10,1.190975
5274f047,1,EKF,5.0,0.11,2.803610
5274f047,1,LMHE1,5.0,0.11,1.781752
5274f047,1,LMHE2,5.0,0.11,1.922677
5274f047,1,LMHE3,5.0,0.11,1.217039
5274f047,1,EKF,5.0,0.12,2.971307
5274f047,1,LMHE1,5.0,0.12,1.839790
5274f047,1,LMHE2,5.0,0.12,1.963119
5274f047,1,LMHE3,5.0,0.12,1.290515
5274f047,1,EKF,5.0,0.13,3.189109
5274f047,1,LMHE1,5.0,0.13,1.930428
5274f047,1,LMHE2,5.0,0.13,1.929451
5274f047,1,LMHE3,5.0,0.13,1.355154
5274f047,1,EKF,5.0,0.14,3.415131
5274f047,1,LMHE1,5.0,0.14,2.005786
