run_id,loop,T,ts,stats_start_step,estimator,solver,RMSE,max_norm_err,MHE_scheme,MHE_horizon,mean_solver_time,median_solver_time,std_solver_time,min_solver_time,max_solver_time
b617078c,1,11.0,0.01,100,EKF,,0.10042182848465064,0.30357929742655554,,,0.13151553133375724,0.1315155313337572,2.7755575615628914e-17,0.1315155313337572,0.1315155313337572
41bf49d2,1,11.0,0.01,100,MHE (OSQP),osqp,0.10387498108403612,0.32219577400781274,"single-shooting, filtering",10,2.892532241351048,2.8888999950140715,0.04091642900343165,2.7928000054089352,3.0033000075491145
8823cd82,1,11.0,0.01,100,MHE (OSQP),osqp,0.10210609426465009,0.3276246812774,"single-shooting, filtering",20,12.029219578221033,12.02549999288749,0.13598815547897952,11.609499997575767,12.4573000066448
2d2d49a0,1,11.0,0.01,100,MHE (OSQP),osqp,0.10098893012891406,0.3073817816436869,"single-shooting, filtering",40,64.20296183136342,63.475449998804834,1.880838168167006,61.530100007075816,69.89100000646431
7a7030f1,1,11.0,0.01,100,MHE (OSQP),osqp,0.10005232796862142,0.2999796797476139,"single-shooting, filtering",80,777.5748420999374,768.0058999976609,74.279340233295,645.2201000065543,965.5697000125656
561015cc,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.1038749811819066,0.3221957706176253,"single-shooting, filtering",10,23.108466666673667,23.098199999367353,0.4739567349548526,21.820800000568852,24.41900000849273
d95d7b1d,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10210609366877006,0.32762467114347243,"single-shooting, filtering",20,34.45836186986855,34.4648500031326,0.6242097478694075,32.7666999946814,36.24619999027345
2399a853,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10098893018843436,0.3073817654219456,"single-shooting, filtering",40,78.09964973442952,78.07270000921562,0.9352381605460909,75.67950000520796,80.83510000142269
b4191d40,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10005232804775113,0.299979684827912,"single-shooting, filtering",80,278.59990979520757,275.90899998904206,11.572107114045897,248.3217999979388,315.4453999886755
6a7ef550,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.1045357707852091,0.32116874782323157,"single-shooting, filtering",10,0.9956241488559519,0.9902999954647385,0.05611657246053234,0.850600001285784,1.1497999948915094
9e6f0e27,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10259865720455282,0.32229996525405663,"single-shooting, filtering",20,2.1918884376342853,2.1771500032627955,0.13365309818957505,1.8891999934567139,2.5707000022521242
ea681719,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10313259058374483,0.3352831776809908,"single-shooting, filtering",40,13.810604197274383,13.757900000200607,0.5463770693490356,12.398000006214716,15.364999999292195
0e678e8f,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10901943554308088,0.37630082723264185,"single-shooting, filtering",80,56.36419222226856,55.58109999401495,2.714503681838576,51.11939999915194,64.58330000168644
3a2419d6,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10571061983101421,0.328173224960705,"single-shooting, filtering",10,1.1629694069884222,1.1572999937925488,0.056430099333552475,1.011800006381236,1.3193999911891297
770aed24,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10256501455480428,0.3296450666709534,"single-shooting, filtering",20,2.540764952838154,2.514399995561689,0.1838509234914494,2.1582999906968325,3.0565000051865354
fde55fcf,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10331123338086237,0.33436823196374854,"single-shooting, filtering",40,14.820029939499129,14.484899998933543,0.9591118309168364,12.557499998365529,17.691900007775985
cdca2644,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10466395902862066,0.3515768483289749,"single-shooting, filtering",80,60.75858649727416,59.818199995788746,3.1126905948775,53.95689999568276,70.6822999927681
