run_id,Q,N,loop,estimator,T,time,estimation_error_norm
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.18,0.178237
52f3cac1,Q1,10,1,EKF,30,0.19,0.181406
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.19,0.181985
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.19,0.188838
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.19,0.185379
52f3cac1,Q1,10,1,EKF,30,0.2,0.196502
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.2,0.197076
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.2,0.20154
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.2,0.198121
52f3cac1,Q1,10,1,EKF,30,0.21,0.196119
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.21,0.196691
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.21,0.206805
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.21,0.204152
52f3cac1,Q1,10,1,EKF,30,0.22,0.205533
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.22,0.206007
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.22,0.226832
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.22,0.223493
52f3cac1,Q1,10,1,EKF,30,0.23,0.210936
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.23,0.211327
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.23,0.226462
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.23,0.224594
52f3cac1,Q1,10,1,EKF,30,0.24,0.211874
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.24,0.212402
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.24,0.231126
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.24,0.229864
52f3cac1,Q1,10,1,EKF,30,0.25,0.214383
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.25,0.214668
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.25,0.223798
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.25,0.224283
52f3cac1,Q1,10,1,EKF,30,0.26,0.217186
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.26,0.21735
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.26,0.230226
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.26,0.230722
52f3cac1,Q1,10,1,EKF,30,0.27,0.224551
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.27,0.22459
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.27,0.225834
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.27,0.227575
52f3cac1,Q1,10,1,EKF,30,0.28,0.229156
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.28,0.229189
52f3cac1,Q1,10,1,MHE (PCIP N=10),30,0.28,0.236324
52f3cac1,Q1,10,1,MHE (PCIP+L1AO N=10),30,0.28,0.237775
52f3cac1,Q1,10,1,EKF,30,0.29,0.248111
52f3cac1,Q1,10,1,MHE (baseline N=10),30,0.29,0.247586
