run_id,loop,T,ts,stats_start_step,estimator,solver,RMSE,max_norm_err,MHE_scheme,MHE_horizon,mean_solver_time,median_solver_time,std_solver_time,min_solver_time,max_solver_time
2985cdc0,1,11.0,0.01,100,EKF,,0.10042182848465064,0.30357929742655554,,,0.1314140781167037,0.1314140781167037,0.0,0.1314140781167037,0.1314140781167037
1741e343,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10387498115719092,0.32219576949513307,"single-shooting, filtering",10,1.1260954954953224,1.1045999999623746,0.13851012788943454,0.8841999951982871,1.5401000127894804
e713164a,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10210609348869207,0.3276246674667296,"single-shooting, filtering",20,2.2344191725587605,2.224900003056973,0.15461957240193316,1.931900013005361,2.6591000059852377
6be74e0e,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10098892953548697,0.307381767198339,"single-shooting, filtering",40,8.303218575706152,8.288600001833402,0.40123090099119596,7.192999997641891,9.358100011013448
cb207eb3,1,11.0,0.01,100,MHE (CVXOPT),cvxopt,0.10005232875149968,0.29997968623640314,"single-shooting, filtering",80,14.239692631312401,14.18184999783989,0.3426969916958609,13.38489999761805,15.215899999020621
53ca2fd9,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10458843684069799,0.3218076397254367,"single-shooting, filtering",10,0.27453245430153583,0.27380000392440706,0.009673939463698898,0.25660000392235816,0.30679999326821417
c59a2c6e,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10299140100757033,0.3218968808609036,"single-shooting, filtering",20,0.528363187590407,0.5260000034468248,0.03328850271888264,0.4487999976845458,0.6419999990612268
038ef9e2,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10318361664979742,0.3345440324761447,"single-shooting, filtering",40,1.6887914689053323,1.6823500045575202,0.1064304460425944,1.4032000035513192,2.017499995417893
7c67254f,1,11.0,0.01,100,MHE (PCIP),iterative-cg1,0.10775237363439347,0.3769223274990367,"single-shooting, filtering",80,10.00114829714448,9.907399988151155,0.5593727569110334,8.373600008781068,11.692200001562014
d583b32c,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10577081713802831,0.3285998527420004,"single-shooting, filtering",10,0.2994107952789901,0.29754999559372663,0.011827806373095964,0.2738999901339412,0.34059998870361596
a667a32e,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10361321586986691,0.3307084514574349,"single-shooting, filtering",20,0.6287486344184849,0.5987000040477142,0.08924468592884317,0.4833999992115423,0.9153999999398366
50b5f1d9,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.1033467471076625,0.33375097578927565,"single-shooting, filtering",40,1.9578470890298467,1.897199996165,0.2364559423063624,1.4694999990751967,2.6569000037852675
290c705a,1,11.0,0.01,100,MHE (PCIP+L1AO),iterative-cg1,0.10472980111576222,0.35025552986160885,"single-shooting, filtering",80,10.959655952571717,10.918749998381827,0.46672352501500647,9.708600002340972,12.354199992842041
