run_id,loop,T,ts,stats_start_step,estimator,solver,RMSE,max_norm_err,MHE_scheme,MHE_horizon,mean_solver_time,median_solver_time,std_solver_time,min_solver_time,max_solver_time
62f12ad4,1,11.0,0.01,100,EKF,,0.10042182848465064,0.30357929742655554,,,0.13120871934784725,0.13120871934784722,2.7755575615628914e-17,0.13120871934784722,0.13120871934784722
147f26ec,1,11.0,0.01,100,MHE (OSQP),osqp,0.10387477923457393,0.32219250349644574,"multiple-shooting, filtering",10,0.7391916032532188,0.7330999942496419,0.022399345717842543,0.7059000054141507,0.8133000083034858
86cc3f3f,1,11.0,0.01,100,MHE (OSQP),osqp,0.10210621041152482,0.3276303454263291,"multiple-shooting, filtering",20,1.453139817419063,1.4488999950117432,0.019210937840336003,1.414599988493137,1.5064000035636127
34ad8838,1,11.0,0.01,100,MHE (OSQP),osqp,0.10098926563975855,0.3074147010922078,"multiple-shooting, filtering",40,2.4367841386179703,2.4314999900525436,0.04804014542867868,2.34759999148082,2.653000003192574
680d29c0,1,11.0,0.01,100,MHE (OSQP),osqp,0.10006101165557174,0.2999822343659753,"multiple-shooting, filtering",80,22.751052540736897,23.324049994698726,5.432245545034889,8.036300001549534,36.00469999946654
94ce10bf,1,11.0,0.01,100,MHE (OSQP),osqp,0.09947838093476971,0.2999479844212765,"multiple-shooting, filtering",160,106.44600829158395,114.5983000023989,45.50546948369183,9.541999999783002,243.09859999630135
19c6b03d,1,11.0,0.01,100,MHE (PCIP),direct-sparse,0.10387540459230632,0.3227785609862378,"multiple-shooting, filtering",10,1.5367078896189446,1.5238000050885603,0.043100898920541204,1.4762000064365566,1.6673000063747168
133dbc46,1,11.0,0.01,100,MHE (PCIP),direct-sparse,0.10207589900681349,0.32905260275315146,"multiple-shooting, filtering",20,2.1078355397485895,2.092950002406724,0.06991220070124124,2.0075000065844506,2.314699988346547
1074fff4,1,11.0,0.01,100,MHE (PCIP),direct-sparse,0.1009887066014943,0.3076811328888481,"multiple-shooting, filtering",40,3.1376830385765304,3.1315000087488443,0.054438908720109404,3.009699998074211,3.2912999886320904
776810fe,1,11.0,0.01,100,MHE (PCIP),direct-sparse,0.10001312300306285,0.3000523743141333,"multiple-shooting, filtering",80,5.267193430630569,5.258100005448796,0.1262022941057401,4.997399999410845,5.635699999402277
1a7e93fc,1,11.0,0.01,100,MHE (PCIP),direct-sparse,0.788844293099519,19.87813037387819,"multiple-shooting, filtering",160,9.735445189336945,9.708099998533726,0.29196534251665573,9.027400010381825,10.603000002447516
82d0a0c1,1,11.0,0.01,100,MHE (PCIP+L1AO),direct-sparse,0.10289162105403271,0.3233673114904457,"multiple-shooting, filtering",10,1.6557931476492012,1.6518499978701584,0.020762003889377375,1.6124000103445724,1.7173000087495893
7c1db2df,1,11.0,0.01,100,MHE (PCIP+L1AO),direct-sparse,0.10170443378538963,0.32618970614059634,"multiple-shooting, filtering",20,2.3152824488589636,2.314850004040636,0.06232215127560956,2.192599989939481,2.490600003511645
43b77b36,1,11.0,0.01,100,MHE (PCIP+L1AO),direct-sparse,0.10074664422982614,0.30867256332283033,"multiple-shooting, filtering",40,3.421158718228675,3.4137499969801866,0.054459462741077026,3.2992999913403764,3.5799000033875927
3a443c5b,1,11.0,0.01,100,MHE (PCIP+L1AO),direct-sparse,0.10070372575078868,0.30816455472595833,"multiple-shooting, filtering",80,5.716096594573121,5.70710000465624,0.10222483002423013,5.445200004032813,6.015799997840077
a3aa4e4e,1,11.0,0.01,100,MHE (PCIP+L1AO),direct-sparse,nan,nan,"multiple-shooting, filtering",160,10.505366092526321,10.471100002177991,0.2942905141298748,9.550199989462271,11.368499996024184
